,ano,casa,visitante,gols_casa,gols_visitante,torneio,cidade,pais,neutro,vencedor,vencedor_m,total_gols
37383,2015,Philippines,Bahrain,2,1,FIFA World Cup qualification,Bocaue,Philippines,False,Philippines,casa,3
37384,2015,Saudi Arabia,Palestine,3,2,FIFA World Cup qualification,Dammam,Saudi Arabia,False,Saudi Arabia,casa,5
37385,2015,Spain,Costa Rica,2,1,Friendly,León,Spain,False,Spain,casa,3
37386,2015,Tajikistan,Jordan,1,3,FIFA World Cup qualification,Dushanbe,Tajikistan,False,Jordan,visitante,4
37387,2015,Uzbekistan,Iran,0,1,Friendly,Tashkent,Uzbekistan,False,Iran,visitante,1
37388,2015,Yemen,North Korea,0,3,FIFA World Cup qualification,Doha,Qatar,True,North Korea,visitante,3
37389,2015,Dominica,Canada,0,2,FIFA World Cup qualification,Roseau,Dominica,False,Canada,visitante,2
37391,2015,Andorra,Cyprus,1,3,UEFA Euro qualification,Sant Julià de Lòria,Andorra,False,Cyprus,visitante,4
37392,2015,Bosnia and Herzegovina,Israel,3,1,UEFA Euro qualification,Zenica,Bosnia and Herzegovina,False,Bosnia and Herzegovina,casa,4
37394,2015,Guinea,Eswatini,1,2,African Cup of Nations qualification,Casablanca,Morocco,True,Eswatini,visitante,3
37395,2015,Iceland,Czech Republic,2,1,UEFA Euro qualification,Reykjavík,Iceland,False,Iceland,casa,3
37396,2015,Kazakhstan,Turkey,0,1,UEFA Euro qualification,Almaty,Kazakhstan,False,Turkey,visitante,1
37397,2015,Latvia,Netherlands,0,2,UEFA Euro qualification,Riga,Latvia,False,Netherlands,visitante,2
37398,2015,Malta,Bulgaria,0,1,UEFA Euro qualification,Attard,Malta,False,Bulgaria,visitante,1
37400,2015,Morocco,Libya,1,0,African Cup of Nations qualification,Agadir,Morocco,False,Morocco,casa,1
37402,2015,Tunisia,Djibouti,8,1,African Cup of Nations qualification,Radès,Tunisia,False,Tunisia,casa,9
37403,2015,Wales,Belgium,1,0,UEFA Euro qualification,Cardiff,Wales,False,Wales,casa,1
37404,2015,Puerto Rico,Grenada,1,0,FIFA World Cup qualification,Bayamón,Puerto Rico,False,Puerto Rico,casa,1
37406,2015,Albania,France,1,0,Friendly,Elbasan,Albania,False,Albania,casa,1
37407,2015,Algeria,Seychelles,4,0,African Cup of Nations qualification,Blida,Algeria,False,Algeria,casa,4
37408,2015,Angola,Central African Republic,4,0,African Cup of Nations qualification,Lubango,Angola,False,Angola,casa,4
37410,2015,Armenia,Portugal,2,3,UEFA Euro qualification,Yerevan,Armenia,False,Portugal,visitante,5
37411,2015,Burkina Faso,Comoros,2,0,African Cup of Nations qualification,Ouagadougou,Burkina Faso,False,Burkina Faso,casa,2
37412,2015,Cape Verde,São Tomé and Príncipe,7,1,African Cup of Nations qualification,Praia,Cape Verde,False,Cape Verde,casa,8
37413,2015,Denmark,Serbia,2,0,UEFA Euro qualification,Copenhagen,Denmark,False,Denmark,casa,2
37414,2015,Faroe Islands,Greece,2,1,UEFA Euro qualification,Tórshavn,Faroe Islands,False,Faroe Islands,casa,3
37415,2015,Finland,Hungary,0,1,UEFA Euro qualification,Helsinki,Finland,False,Hungary,visitante,1
37416,2015,Gibraltar,Germany,0,7,UEFA Euro qualification,Faro,Portugal,True,Germany,visitante,7
37418,2015,Malawi,Zimbabwe,1,2,African Cup of Nations qualification,Blantyre,Malawi,False,Zimbabwe,visitante,3
37419,2015,Mali,South Sudan,2,0,African Cup of Nations qualification,Bamako,Mali,False,Mali,casa,2
37420,2015,Nigeria,Chad,2,0,African Cup of Nations qualification,Kaduna,Nigeria,False,Nigeria,casa,2
37422,2015,Poland,Georgia,4,0,UEFA Euro qualification,Warsaw,Poland,False,Poland,casa,4
37423,2015,Senegal,Burundi,3,1,African Cup of Nations qualification,Dakar,Senegal,False,Senegal,casa,4
37425,2015,Uganda,Botswana,2,0,African Cup of Nations qualification,Kampala,Uganda,False,Uganda,casa,2
37426,2015,Uruguay,Jamaica,1,0,Copa América,Antofagasta,Chile,True,Uruguay,casa,1
37428,2015,Barbados,Aruba,0,3,FIFA World Cup qualification,Bridgetown,Barbados,False,Aruba,visitante,3
37429,2015,Belarus,Spain,0,1,UEFA Euro qualification,Barysaw,Belarus,False,Spain,visitante,1
37430,2015,Brazil,Peru,2,1,Copa América,Temuco,Chile,True,Brazil,casa,3
